CONVOCATORIA,SEMESTRE DE CONVOCATORIA,BENEFICIO OTORGADO,DEPARTAMENTO DE NACIMIENTO,MUNICIPIO DE NACIMIENTO,FECHA DE NACIMIENTO,GÉNERO,SUBREGIÓN DE RESIDENCIA,MUNICIPIO DE RESIDENCIA,ESTRATO,GRUPO ETNICO,VICTIMA DEL CONFLICTO ARMADO,UNIVERSIDAD,PROGRAMA CURSADO,MUNICIPIO OFERTA,TIPO DE FORMACIÓN,GRADUADO
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,CARAMANTA,10/27/1972 12:00:00 AM,MASCULINO,SUROESTE,CARAMANTA,ESTRATO 1,NINGUNO,NO,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,NO
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,URRAO,03/07/1997 12:00:00 AM,FEMENINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 2,NINGUNO,SI,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SAN RAFAEL,03/18/1995 12:00:00 AM,MASCULINO,ORIENTE,ALEJANDRIA,ESTRATO 1,NINGUNO,SI,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,NO
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,ANGOSTURA,11/23/1996 12:00:00 AM,FEMENINO,NORTE,ANGOSTURA,ESTRATO 1,NINGUNO,NO,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,TOLEDO,03/05/1996 12:00:00 AM,MASCULINO,NORTE,TOLEDO,ESTRATO 2,NINGUNO,SI,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL CARMEN DE VIBORAL,10/27/1998 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 1,NINGUNO,NO,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,NO
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SONSON,01/05/1997 12:00:00 AM,FEMENINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 1,NINGUNO,SI,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,NO
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL CARMEN DE VIBORAL,06/26/1997 12:00:00 AM,MASCULINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 1,NINGUNO,SI,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,CONCEPCION,05/05/1998 12:00:00 AM,MASCULINO,ORIENTE,CONCEPCION,ESTRATO 3,NINGUNO,SI,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,PEQUE,04/09/1997 12:00:00 AM,MASCULINO,OCCIDENTE,PEQUE,ESTRATO 1,NINGUNO,SI,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,CAMPAMENTO,10/27/1990 12:00:00 AM,FEMENINO,NORTE,CAMPAMENTO,ESTRATO 2,NINGUNO,NO,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,CAICEDO,10/09/1997 12:00:00 AM,MASCULINO,OCCIDENTE,CAICEDO,ESTRATO 1,NINGUNO,NO,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,CARAMANTA,01/25/1986 12:00:00 AM,MASCULINO,SUROESTE,CARAMANTA,ESTRATO 2,NINGUNO,NO,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,SI
